Compound	Modifier	Head	FreqComp	FreqMod	FreqHead	ProdMod	ProdHead	AmbMod	AmbHead
Bildfehler	Bild	Fehler	2524	5015121	1246498	331	85	7	2
Bildfläche	Bild	Fläche	17489	5015121	565210	331	222	7	2
Bildfolge	Bild	Folge	3428	5015121	1782348	331	97	7	3
Bildformat	Bild	Format	9233	5015121	340025	331	27	7	3
Bildgeschichte	Bild	Geschichte	2207	5015121	2988292	331	380	7	7
Bildhauer	Bild	Hauer	39554	5015121	7983	331	30	7	2
Bildidee	Bild	Idee	2377	5015121	2176154	331	74	7	2
Bildinformation	Bild	Information	5203	5015121	2609751	331	67	7	2
Bildinhalt	Bild	Inhalt	5141	5015121	1371471	331	55	7	2
Bildlegende	Bild	Legende	2033	5015121	140734	331	33	7	3
Bildmaterial	Bild	Material	34574	5015121	935726	331	181	7	3
Bildmitte	Bild	Mitte	9512	5015121	1109258	331	41	7	4
Bildmotiv	Bild	Motiv	5182	5015121	377636	331	54	7	3
Bildpunkt	Bild	Punkt	15551	5015121	2557207	331	172	7	7
Bildqualität	Bild	Qualität	67643	5015121	1260166	331	106	7	2
Bildquelle	Bild	Quelle	9570	5015121	777720	331	103	7	3
Bildrand	Bild	Rand	12873	5015121	523473	331	98	7	2
Bildröhre	Bild	Röhre	3489	5015121	52789	331	36	7	4
Bildschirm	Bild	Schirm	257756	5015121	77315	331	22	7	2
Bildseite	Bild	Seite	2560	5015121	5508445	331	256	7	6
Bildserie	Bild	Serie	2383	5015121	800751	331	129	7	3
Bildsprache	Bild	Sprache	11677	5015121	1235871	331	140	7	1
Bildstörung	Bild	Störung	2269	5015121	296660	331	60	7	3
Bildtafel	Bild	Tafel	5182	5015121	157118	331	88	7	4
Bildteil	Bild	Teil	5982	5015121	4347552	331	287	7	5
Bildträger	Bild	Träger	3096	5015121	271070	331	213	7	7
Bildungsprozess	Bildung	Prozess	6847	704288	894542	202	193	4	3
Bildungsstand	Bildung	Stand	7064	704288	846433	202	195	4	6
Bildungswerk	Bildung	Werk	12575	704288	1354148	202	366	4	6
Bildwelt	Bild	Welt	5173	5015121	4049629	331	233	7	5
Bildwerk	Bild	Werk	4795	5015121	1354148	331	366	7	6
Bildwinkel	Bild	Winkel	2875	5015121	154191	331	41	7	4
Bindungswirkung	Bindung	Wirkung	4557	154668	850412	11	67	3	2
Binsenweisheit	Binse	Weisheit	7072	3851	158076	3	21	1	2
Blätterdach	Blatt	Dach	2888	437087	426860	48	89	5	1
Blätterteig	Blatt	Teig	4511	437087	97449	48	22	5	1
Blätterwald	Blatt	Wald	3831	437087	842206	48	163	5	1
Blattfeder	Blatt	Feder	2159	437087	93873	48	34	5	4
Blattgold	Blatt	Gold	3926	437087	437941	48	21	5	1
Blattlaus	Blatt	Laus	8760	437087	16663	48	10	5	1
Blattsalat	Blatt	Salat	3402	437087	129361	48	53	5	2
Blattwerk	Blatt	Werk	4058	437087	1354148	48	366	5	6
Blütenpracht	Blüte	Pracht	5971	222716	44115	51	11	4	1
Bodenfläche	Boden	Fläche	4962	1184424	565210	185	222	5	2
Bodenkontakt	Boden	Kontakt	5452	1184424	1212088	185	65	5	4
Bogenlampe	Bogen	Lampe	2409	195994	185507	29	42	5	1
Bootsführer	Boot	Führer	2684	449693	173872	50	234	1	3
Briefkontakt	Brief	Kontakt	2162	578057	1212088	77	65	1	4
Brunnenanlage	Brunnen	Anlage	2345	118579	1005890	59	322	1	7
Brunnenwasser	Brunnen	Wasser	2968	118579	2297829	59	124	1	4
Bühnenrand	Bühne	Rand	3288	616784	523473	212	98	3	2
Bürofläche	Büro	Fläche	8616	444325	565210	139	222	2	2
Bürogemeinschaft	Büro	Gemeinschaft	2699	444325	451970	139	215	2	2
Büstenhalter	Büste	Halter	2029	12392	111819	1	57	3	2
Charakterzug	Charakter	Zug	11640	706525	1036257	42	200	4	11
Chefsache	Chef	Sache	7484	394992	2658027	103	95	1	2
Computerspiel	Computer	Spiel	64385	662460	4122168	213	403	1	6
Currywurst	Curry	Wurst	13893	18183	95119	5	39	1	1
Dachfläche	Dach	Fläche	13883	426860	565210	85	222	1	2
Dampfzug	Dampf	Zug	2494	65616	1036257	46	200	1	11
Daumenkino	Daumen	Kino	2082	243210	394612	11	77	1	1
Deckenbalken	Decke	Balken	2206	185203	78464	27	18	3	1
Deckenlampe	Decke	Lampe	2340	185203	185507	27	42	3	1
Dienstverhältnis	Dienst	Verhältnis	11149	846544	867130	141	142	3	3
Diskussionsprozess	Diskussion	Prozess	6210	1165100	894542	88	193	1	3
Dorfrand	Dorf	Rand	2134	666626	523473	171	98	1	2
Drangphase	Drang	Phase	2594	50765	504204	4	136	2	1
Durchschlagskraft	Durchschlag	Kraft	10838	4935	1536799	5	205	1	3
Eifersucht	Eifer	Sucht	41611	46496	80274	1	65	1	2
Eigentumsverhältnis	Eigentum	Verhältnis	7682	197184	867130	51	142	1	3
Einkommensquelle	Einkommen	Quelle	4987	293555	777720	70	103	1	3
Einkunftsart	Einkunft	Art	2114	77476	3420918	2	176	0	5
Einnahmequelle	Einnahme	Quelle	22813	296652	777720	24	103	4	3
Einsatzfähigkeit	Einsatz	Fähigkeit	3911	1688057	691050	106	155	5	2
Einsatzfreude	Einsatz	Freude	2197	1688057	897654	106	65	5	1
Einspruchsfrist	Einspruch	Frist	2690	63368	213561	7	58	1	1
Einstellungssache	Einstellung	Sache	3569	751872	2658027	46	95	5	2
Eisenmangel	Eisen	Mangel	8339	135812	382072	124	129	3	4
Eisenstange	Eisen	Stange	5599	135812	101757	124	46	3	2
Eisenwerk	Eisen	Werk	2084	135812	1354148	124	366	3	6
Eisfläche	Eis	Fläche	7773	258617	565210	177	222	2	2
Elektrizitätswerk	Elektrizität	Werk	8327	27888	1354148	20	366	1	6
Elternbrief	Eltern	Brief	3542	1818245	578057	89	96	1	1
Endphase	Ende	Phase	13368	4188590	504204	92	136	3	1
Endspiel	Ende	Spiel	67232	4188590	4122168	92	403	3	6
Endstand	Ende	Stand	53906	4188590	846433	92	195	3	6
Energiequelle	Energie	Quelle	42174	1191333	777720	217	103	2	3
Enkelkind	Enkel	Kind	23596	79711	7297679	5	164	1	2
Erbsensuppe	Erbse	Suppe	5277	26100	103341	6	62	2	1
Erkenntnisprozess	Erkenntnis	Prozess	3099	655215	894542	50	193	1	3
Erkenntnisstand	Erkenntnis	Stand	5858	655215	846433	50	195	1	6
Erstlingswerk	Erstling	Werk	8969	8981	1354148	1	366	1	6
Expertenkommission	Experte	Kommission	7107	537106	271576	61	187	1	2
Fabrikanlage	Fabrik	Anlage	2179	112412	1005890	62	322	1	7
Fabrikarbeiter	Fabrik	Arbeiter	3448	112412	256243	62	137	1	2
Fabrikverkauf	Fabrik	Verkauf	2043	112412	425276	62	120	1	1
Facettenreichtum	Facette	Reichtum	2865	78198	145727	2	38	2	1
Facharbeiter	Fach	Arbeiter	14013	249984	256243	213	137	4	2
Fachkommission	Fach	Kommission	2931	249984	271576	213	187	4	2
Fackelzug	Fackel	Zug	3192	35254	1036257	11	200	1	11
Fahnenstange	Fahne	Stange	8746	135211	101757	32	46	2	2
Fakultätsrat	Fakultät	Rat	3522	164900	575027	7	197	2	2
Familiengruppe	Familie	Gruppe	2204	2427029	2212211	353	679	2	1
Familienphase	Familie	Phase	2032	2427029	504204	353	136	2	1
Familienspiel	Familie	Spiel	2656	2427029	4122168	353	403	2	6
Familienstand	Familie	Stand	7956	2427029	846433	353	195	2	6
Familienverhältnis	Familie	Verhältnis	5005	2427029	867130	353	142	2	3
Familienwappen	Familie	Wappen	2448	2427029	74158	353	16	2	1
Farbenspiel	Farbe	Spiel	6522	1298288	4122168	259	403	4	6
Favoritenliste	Favorit	Liste	2856	187977	681334	13	244	2	2
Fehlerquelle	Fehler	Quelle	18004	1246498	777720	22	103	2	3
Feldzug	Feld	Zug	29452	806918	1036257	108	200	6	11
Fensterfläche	Fenster	Fläche	4399	717353	565210	69	222	3	2
Ferienspiel	Ferien	Spiel	3538	163622	4122168	135	403	1	6
Fernsehspiel	Fernsehen	Spiel	3553	412107	4122168	358	403	2	6
Festspiel	Fest	Spiel	26634	398816	4122168	188	403	1	6
Feuerwerk	Feuer	Werk	87371	425066	1354148	149	366	5	6
Finanzchef	Finanz	Chef	3523	171187	394992	369	283	2	1
Fingerspiel	Finger	Spiel	2115	453673	4122168	33	403	2	6
Firmenchef	Firma	Chef	10649	1516524	394992	207	283	1	1
Fischsuppe	Fisch	Suppe	2740	504803	103341	152	62	2	1
Flaschenzug	Flasche	Zug	2621	296718	1036257	37	200	3	11
Fliesenkleber	Fliese	Kleber	2917	4091	44489	10	11	1	2
Flusswasser	Fluss	Wasser	2550	385018	2297829	71	124	2	4
Formfehler	Form	Fehler	4300	2363191	1246498	81	85	5	2
Formteil	Form	Teil	3131	2363191	4347552	81	287	5	5
Formvorschrift	Form	Vorschrift	3237	2363191	351400	81	75	5	2
Forschungsstand	Forschung	Stand	10391	625384	846433	183	195	2	6
Frachtführer	Fracht	Führer	3484	24120	173872	43	234	2	3
Fraktionschef	Fraktion	Chef	12843	264638	394992	91	283	3	1
Franziskanerkloster	Franziskaner	Kloster	3717	9529	293151	10	16	1	1
Frauenanteil	Frau	Anteil	14929	5561566	678546	517	186	3	3
Frauensache	Frau	Sache	2418	5561566	2658027	517	95	3	2
Freundschaftsspiel	Freundschaft	Spiel	23460	255625	4122168	35	403	1	6
Friedensprozess	Friede	Prozess	12003	57570	894542	333	193	1	3
Fuchsjagd	Fuchs	Jagd	2997	79247	163426	19	84	6	1
Führerstand	Führer	Stand	5554	173872	846433	28	195	3	6
Führungszeugnis	Führung	Zeugnis	9654	742603	198179	139	30	6	3
Fuhrpark	Fuhre	Park	21162	7947	456594	11	135	1	1
Fundsache	Fund	Sache	4800	123823	2658027	24	95	2	2
Funktionsfähigkeit	Funktion	Fähigkeit	20017	1157412	691050	46	155	5	2
Gästeführer	Gast	Führer	3000	1528115	173872	162	234	2	3
Gardinenstange	Gardine	Stange	2037	19307	101757	6	46	1	2
Gastarbeiter	Gast	Arbeiter	15515	1528115	256243	162	137	2	2
Gastspiel	Gast	Spiel	29292	1528115	4122168	162	403	2	6
Gaswerk	Gas	Werk	4020	299873	1354148	148	366	2	6
Gaumenfreude	Gaumen	Freude	9530	37616	897654	11	65	1	1
Gebärdensprache	Gebärde	Sprache	14701	13697	1235871	2	140	1	1
Gebirgskette	Gebirge	Kette	5088	70493	207479	39	139	1	4
Gebirgszug	Gebirge	Zug	7319	70493	1036257	39	200	1	11
Gedankenspiel	Gedanke	Spiel	9264	1428826	4122168	64	403	1	6
Geduldsfaden	Geduld	Faden	2656	217764	155695	6	31	1	1
Geduldsspiel	Geduld	Spiel	2087	217764	4122168	6	403	1	6
Gefahrenquelle	Gefahr	Quelle	8896	989744	777720	39	103	1	3
Geldmangel	Geld	Mangel	10116	2861883	382072	250	129	4	4
Geldquelle	Geld	Quelle	6250	2861883	777720	250	103	4	3
Gemäldegalerie	Gemälde	Galerie	4810	101561	176458	13	66	1	6
Gemeinschaftsaktion	Gemeinschaft	Aktion	3668	451970	1037198	154	202	2	1
Gemeinschaftsstand	Gemeinschaft	Stand	8650	451970	846433	154	195	2	6
Gemeinschaftswerk	Gemeinschaft	Werk	4196	451970	1354148	154	366	2	6
Gemüsehändler	Gemüse	Händler	3369	242967	475796	64	163	1	2
Gemüsesaft	Gemüse	Saft	2527	242967	103159	64	43	1	2
Gemüsesuppe	Gemüse	Suppe	2920	242967	103341	64	62	1	1
Gerichtsprozess	Gericht	Prozess	5679	767851	894542	106	193	3	3
Gerstensaft	Gerste	Saft	4625	18980	103159	13	43	2	2
Geschäftskontakt	Geschäft	Kontakt	4802	679666	1212088	190	65	5	4
Geschlechterverhältnis	Geschlecht	Verhältnis	10553	266851	867130	81	142	4	3
Geschmackssache	Geschmack	Sache	48594	424354	2658027	33	95	2	2
Geschwisterkind	Geschwister	Kind	6607	146659	7297679	10	164	1	2
Gesellschaftsspiel	Gesellschaft	Spiel	11198	1682398	4122168	103	403	4	6
Gesichtswasser	Gesicht	Wasser	4399	980520	2297829	48	124	3	4
Gesichtszug	Gesicht	Zug	15712	980520	1036257	48	200	3	11
Gesundheitszeugnis	Gesundheit	Zeugnis	3090	604378	198179	189	30	1	3
Getränkekarte	Getränk	Karte	2303	285052	1267171	55	233	1	4
Getränkestand	Getränk	Stand	3300	285052	846433	55	195	1	6
Getriebeschaden	Getriebe	Schaden	2098	102899	802629	4	109	1	1
Gewerbefläche	Gewerbe	Fläche	11766	103672	565210	100	222	2	2
Gewerkschaftsführer	Gewerkschaft	Führer	3310	243620	173872	172	234	1	3
Gewinnspiel	Gewinn	Spiel	93118	460369	4122168	73	403	3	6
Gitarrenspiel	Gitarre	Spiel	7244	222294	4122168	78	403	1	6
Glasfläche	Glas	Fläche	6062	407194	565210	166	222	4	2
Glatzkopf	Glatze	Kopf	2916	18173	1654493	4	159	1	6
Glockenspiel	Glocke	Spiel	7683	90479	4122168	30	403	1	6
Glückssache	Glück	Sache	6479	1303952	2658027	77	95	2	2
Glücksspiel	Glück	Spiel	28828	1303952	4122168	77	403	2	6
Goldkette	Gold	Kette	2171	437941	207479	192	139	1	4
Golfspiel	Golf	Spiel	5221	224742	4122168	77	403	3	6
Grammatikfehler	Grammatik	Fehler	2817	54431	1246498	2	85	1	2
Grasfläche	Gras	Fläche	2563	153157	565210	51	222	2	2
Gratwanderung	Grat	Wanderung	11890	22740	215280	3	78	3	2
Greueltat	Greuel	Tat	4796	8540	666543	10	53	0	2
Grundfläche	Grund	Fläche	23004	3018323	565210	292	222	5	2
Grundwasser	Grund	Wasser	49760	3018323	2297829	292	124	5	4
Gruppenführer	Gruppe	Führer	7989	2212211	173872	157	234	1	3
Gruppenspiel	Gruppe	Spiel	18307	2212211	4122168	157	403	1	6
Güterstand	Gut	Stand	3490	373318	846433	43	195	6	6
Gulaschsuppe	Gulasch	Suppe	2776	8461	103341	3	62	1	1
Gummizug	Gummi	Zug	2680	62890	1036257	107	200	3	11
Haaransatz	Haar	Ansatz	4171	682767	593945	70	46	2	6
Haaresbreite	Haar	Breite	3788	682767	195018	70	39	2	1
Haarfarbe	Haar	Farbe	21904	682767	1298288	70	103	2	4
Haarkleid	Haar	Kleid	3730	682767	208909	70	64	2	1
Haarlänge	Haar	Länge	2695	682767	434697	70	42	2	2
Haarnadel	Haar	Nadel	2169	682767	84902	70	36	2	4
Haarpflege	Haar	Pflege	4949	682767	422799	70	109	2	2
Haarpracht	Haar	Pracht	4717	682767	44115	70	11	2	1
Haarriss	Haar	Riss	3953	682767	99532	70	22	2	3
Haarschnitt	Haar	Schnitt	8939	682767	242697	70	62	2	8
Haarspitze	Haar	Spitze	4063	682767	415510	70	132	2	5
Haarspray	Haar	Spray	6652	682767	26117	70	12	2	1
Haarteil	Haar	Teil	3434	682767	4347552	70	287	2	5
Haarwäsche	Haar	Wäsche	2896	682767	89802	70	39	2	3
Haarwuchs	Haar	Wuchs	3707	682767	12793	70	11	2	2
Haarwurzel	Haar	Wurzel	6482	682767	283151	70	19	2	5
Haarzelle	Haar	Zelle	2027	682767	360026	70	94	2	5
Hafenarbeiter	Hafen	Arbeiter	3473	304794	256243	147	137	1	2
Halskette	Hals	Kette	8707	271703	207479	39	139	3	4
Handelskette	Handel	Kette	6509	428611	207479	240	139	1	4
Handelssache	Handel	Sache	2043	428611	2658027	240	95	1	2
Handfläche	Hand	Fläche	19337	2826996	565210	121	222	1	2
Handlungsfähigkeit	Handlung	Fähigkeit	18797	433084	691050	100	155	2	2
Handspiel	Hand	Spiel	9613	2826996	4122168	121	403	1	6
Handstand	Hand	Stand	4065	2826996	846433	121	195	1	6
Hausstand	Haus	Stand	3680	3860157	846433	345	195	5	6
Hautkontakt	Haut	Kontakt	5011	651324	1212088	64	65	2	4
Hebräerbrief	Hebräer	Brief	2520	9025	578057	1	96	1	1
Heerführer	Heer	Führer	6516	94910	173872	50	234	2	3
Heidefläche	Heide	Fläche	3336	55502	565210	49	222	3	2
Heimspiel	Heim	Spiel	138050	160184	4122168	131	403	2	6
Herpesvirus	Herpes	Virus	2938	12616	232785	1	13	1	2
Herrschaftsverhältnis	Herrschaft	Verhältnis	4662	210354	867130	62	142	1	3
Herzenssache	Herz	Sache	2349	1438192	2658027	119	95	5	2
Herzenswärme	Herz	Wärme	2057	1438192	264202	119	17	5	2
Hexenjagd	Hexe	Jagd	5544	64919	163426	49	84	2	1
Hexenwerk	Hexe	Werk	4449	64919	1354148	49	366	2	6
Hilfswerk	Hilfe	Werk	24952	2005462	1354148	176	366	3	6
Hotelkette	Hotel	Kette	6410	1199856	207479	134	139	1	4
Hügelkette	Hügel	Kette	3579	136970	207479	14	139	1	4
Hühnersuppe	Huhn	Suppe	3041	139581	103341	54	62	3	1
Hundeführer	Hund	Führer	16081	2023296	173872	142	234	2	3
Hustenanfall	Husten	Anfall	3080	45527	57528	8	28	1	2
Hustensaft	Husten	Saft	3129	45527	103159	8	43	1	2
Imbissstand	Imbiss	Stand	2656	36580	846433	17	195	2	6
Industriearbeiter	Industrie	Arbeiter	2633	420023	256243	293	137	1	2
Infektionsquelle	Infektion	Quelle	2442	145766	777720	17	103	2	3
Infobroschüre	Info	Broschüre	2752	804564	156986	61	22	1	1
Informationsquelle	Information	Quelle	31948	2609751	777720	225	103	2	3
Informationsstand	Information	Stand	16898	2609751	846433	225	195	2	6
Infostand	Info	Stand	27354	804564	846433	61	195	1	6
Innovationsfähigkeit	Innovation	Fähigkeit	6469	233555	691050	42	155	1	2
Innovationsprozess	Innovation	Prozess	4256	233555	894542	42	193	1	3
Inspirationsquelle	Inspiration	Quelle	7255	75812	777720	1	103	1	3
Integrationsfähigkeit	Integration	Fähigkeit	2275	368198	691050	72	155	3	2
Integrationsprozess	Integration	Prozess	7647	368198	894542	72	193	3	3
Internetportal	Internet	Portal	30986	2050303	223712	10	22	2	2
Internetseite	Internet	Seite	268899	2050303	5508445	10	256	2	6
Jachthafen	Jacht	Hafen	3113	5197	304794	2	74	1	1
Jeanshose	Jeans	Hose	2971	66789	273665	19	61	1	1
Jodmangel	Jod	Mangel	2908	21174	382072	7	129	2	4
Jogginghose	Jogging	Hose	4993	6887	273665	6	61	1	1
Jugendspiel	Jugend	Spiel	3075	535054	4122168	369	403	2	6
Kameraarbeit	Kamera	Arbeit	3040	677705	3399409	42	530	2	4
Kamillentee	Kamille	Tee	4974	9445	241901	3	25	1	2
Kammerspiel	Kammer	Spiel	10689	147589	4122168	71	403	3	6
Kampfspiel	Kampf	Spiel	3464	1041440	4122168	197	403	5	6
Kapitalismuskritik	Kapitalismus	Kritik	4919	147461	787355	4	108	1	2
Karabinerhaken	Karabiner	Haken	2333	10618	116427	2	19	2	4
Kartenspiel	Karte	Spiel	20072	1267171	4122168	78	403	4	6
Kartenwerk	Karte	Werk	2099	1267171	1354148	78	366	4	6
Kartoffelsuppe	Kartoffel	Suppe	3396	149667	103341	62	62	2	1
Kasernengelände	Kaserne	Gelände	2801	38874	389489	24	179	1	1
Kassenpatient	Kasse	Patient	7270	259072	1208057	97	37	5	1
Kastanienallee	Kastanie	Allee	4121	18064	45790	10	52	2	1
Kenntnisstand	Kenntnis	Stand	24984	558386	846433	5	195	1	6
Kettenbrief	Kette	Brief	3294	207479	578057	34	96	4	1
Kielwasser	Kiel	Wasser	2216	22070	2297829	8	124	3	4
Kieswerk	Kies	Werk	2135	40255	1354148	38	366	3	6
Kilometerleistung	Kilometer	Leistung	3285	671583	1834791	11	194	2	4
Kinderspiel	Kind	Spiel	29207	7297679	4122168	548	403	2	6
Kirchenführer	Kirche	Führer	3476	1761187	173872	319	234	3	3
Kirchspiel	Kirche	Spiel	6583	1761187	4122168	319	403	3	6
Kirschwasser	Kirsche	Wasser	2013	34604	2297829	29	124	2	4
Klavierspiel	Klavier	Spiel	5021	115527	4122168	73	403	1	6
Klavierwerk	Klavier	Werk	2067	115527	1354148	73	366	1	6
Knebelvertrag	Knebel	Vertrag	2517	7339	839675	3	188	1	1
Kollektorfläche	Kollektor	Fläche	3532	13115	565210	3	222	1	2
Kombinationsspiel	Kombination	Spiel	5370	493045	4122168	22	403	3	6
Kommunikationsfähigkeit	Kommunikation	Fähigkeit	9504	518890	691050	142	155	1	2
Kommunikationsprozess	Kommunikation	Prozess	3900	518890	894542	142	193	1	3
Kompaniechef	Kompanie	Chef	2572	35206	394992	3	283	2	1
Konfliktfähigkeit	Konflikt	Fähigkeit	2873	448540	691050	64	155	1	2
Konkurrenzfähigkeit	Konkurrenz	Fähigkeit	5936	329399	691050	65	155	1	2
Konsolenspiel	Konsole	Spiel	4858	157452	4122168	1	403	3	6
Kontaktfläche	Kontakt	Fläche	4211	1212088	565210	69	222	4	2
Kontostand	Konto	Stand	10914	298632	846433	21	195	2	6
Konzentrationsfähigkeit	Konzentration	Fähigkeit	10857	243578	691050	29	155	3	2
Konzentrationsprozess	Konzentration	Prozess	2618	243578	894542	29	193	3	3
Konzernchef	Konzern	Chef	6938	255939	394992	75	283	1	1
Konzertabend	Konzert	Abend	7855	648563	1476581	122	206	1	2
Kooperationsfähigkeit	Kooperation	Fähigkeit	2145	454033	691050	63	155	1	2
